Sample	Group	Treatment	Tissue	Pig_id	Salmonella	PRRSV	DFM	DNA_conc_ng-ul	DNA_quality
161	1	C	Digesta	30	Control	Control	Control	171	High
162	1	C	Digesta	8	Control	Control	Control	108	High
163	1	C	Digesta	10	Control	Control	Control	140	High
164	1	C	Digesta	49	Control	Control	Control	212	High
186	4	PS	Digesta	47	Present	Present	Absent	63	Medium
190	4	PS	Digesta	35	Present	Present	Absent	24	Medium
193	4	PS	Digesta	15	Present	Present	Absent	174	Medium
194	4	PS	Digesta	23	Present	Present	Absent	199	High
196	5	PS_D	Digesta	17	Present	Present	Present	63	Medium
198	5	PS_D	Digesta	43	Present	Present	Present	24	Medium
201	5	PS_D	Digesta	33	Present	Present	Present	174	Medium
204	5	PS_D	Digesta	9	Present	Present	Present	199	High
3	2	S	Digesta	5	Present	Absent	Absent	311	High
7	2	S	Digesta	3	Present	Absent	Absent	324	High
172	2	S	Digesta	32	Present	Absent	Absent	235	High
173	2	S	Digesta	4	Present	Absent	Absent	122	Medium
177	3	S_D	Digesta	41	Present	Absent	Present	72	Medium
179	3	S_D	Digesta	18	Present	Absent	Present	235	High
181	3	S_D	Digesta	31	Present	Absent	Present	188	Medium
182	3	S_D	Digesta	29	Present	Absent	Present	25	High
113	1	C	Mucosa	30	Control	Control	Control	139	Medium
114	1	C	Mucosa	8	Control	Control	Control	16	Medium
115	1	C	Mucosa	10	Control	Control	Control	146	Medium
116	1	C	Mucosa	49	Control	Control	Control	266	High
140	4	PS	Mucosa	47	Present	Present	Absent	246	Medium
144	4	PS	Mucosa	35	Present	Present	Absent	263	High
147	4	PS	Mucosa	15	Present	Present	Absent	290	High
148	4	PS	Mucosa	23	Present	Present	Absent	402	High
152	5	PS_D	Mucosa	17	Present	Present	Present	227	Low
154	5	PS_D	Mucosa	43	Present	Present	Present	329	High
157	5	PS_D	Mucosa	33	Present	Present	Present	169	Low
160	5	PS_D	Mucosa	9	Present	Present	Present	75	Medium
4	2	S	Mucosa	5	Present	Absent	Absent	237	High
8	2	S	Mucosa	3	Present	Absent	Absent	208	High
126	2	S	Mucosa	32	Present	Absent	Absent	369	High
127	2	S	Mucosa	4	Present	Absent	Absent	33	Medium
131	3	S_D	Mucosa	41	Present	Absent	Present	70	Medium
133	3	S_D	Mucosa	18	Present	Absent	Present	302	High
135	3	S_D	Mucosa	31	Present	Absent	Present	354	High
136	3	S_D	Mucosa	29	Present	Absent	Present	331	High
