"Sequence","reads.in","reads.out","SampleID"
"Sample_113.noprimer.fastq.gz",25765,25753,"Sample_113"
"Sample_114.noprimer.fastq.gz",33215,33210,"Sample_114"
"Sample_115.noprimer.fastq.gz",48332,48321,"Sample_115"
"Sample_116.noprimer.fastq.gz",144066,144036,"Sample_116"
"Sample_126.noprimer.fastq.gz",13594,13545,"Sample_126"
"Sample_127.noprimer.fastq.gz",44115,44040,"Sample_127"
"Sample_131.noprimer.fastq.gz",35801,35790,"Sample_131"
"Sample_133.noprimer.fastq.gz",28902,28861,"Sample_133"
"Sample_135.noprimer.fastq.gz",53510,53469,"Sample_135"
"Sample_136.noprimer.fastq.gz",26270,26239,"Sample_136"
"Sample_140.noprimer.fastq.gz",34448,34435,"Sample_140"
"Sample_144.noprimer.fastq.gz",68028,67930,"Sample_144"
"Sample_147.noprimer.fastq.gz",40967,40862,"Sample_147"
"Sample_148.noprimer.fastq.gz",120808,120770,"Sample_148"
"Sample_152.noprimer.fastq.gz",50489,50429,"Sample_152"
"Sample_154.noprimer.fastq.gz",60950,60868,"Sample_154"
"Sample_157.noprimer.fastq.gz",88277,88235,"Sample_157"
"Sample_160.noprimer.fastq.gz",26975,26846,"Sample_160"
"Sample_161.noprimer.fastq.gz",28818,28810,"Sample_161"
"Sample_162.noprimer.fastq.gz",38199,38190,"Sample_162"
"Sample_163.noprimer.fastq.gz",36572,36570,"Sample_163"
"Sample_164.noprimer.fastq.gz",44302,44285,"Sample_164"
"Sample_172.noprimer.fastq.gz",10283,10269,"Sample_172"
"Sample_173.noprimer.fastq.gz",47157,47153,"Sample_173"
"Sample_177.noprimer.fastq.gz",26599,26585,"Sample_177"
"Sample_179.noprimer.fastq.gz",25955,25947,"Sample_179"
"Sample_181.noprimer.fastq.gz",40599,40583,"Sample_181"
"Sample_182.noprimer.fastq.gz",29813,29803,"Sample_182"
"Sample_186.noprimer.fastq.gz",45297,45284,"Sample_186"
"Sample_190.noprimer.fastq.gz",25614,25605,"Sample_190"
"Sample_193.noprimer.fastq.gz",27877,27863,"Sample_193"
"Sample_194.noprimer.fastq.gz",35010,35003,"Sample_194"
"Sample_196.noprimer.fastq.gz",28734,28713,"Sample_196"
"Sample_198.noprimer.fastq.gz",29693,29687,"Sample_198"
"Sample_201.noprimer.fastq.gz",15533,15526,"Sample_201"
"Sample_204.noprimer.fastq.gz",38690,38671,"Sample_204"
"Sample_3.noprimer.fastq.gz",40932,40916,"Sample_3"
"Sample_4.noprimer.fastq.gz",39731,39706,"Sample_4"
"Sample_7.noprimer.fastq.gz",28635,28624,"Sample_7"
"Sample_8.noprimer.fastq.gz",21972,21964,"Sample_8"
"Sample_control.noprimer.fastq.gz",58523,58504,"Sample_control"
"Sample_Kit_Control.noprimer.fastq.gz",65318,65306,"Sample_Kit_Control"
