"SampleID"	"Sequence"	"input"	"filtered"	"denoised"	"nonchim"
"Sample_113"	"Sample_113.noprimer.fastq.gz"	25765	25753	24465	24383
"Sample_114"	"Sample_114.noprimer.fastq.gz"	33215	33210	31391	31339
"Sample_115"	"Sample_115.noprimer.fastq.gz"	48332	48321	46742	46640
"Sample_116"	"Sample_116.noprimer.fastq.gz"	144066	144036	140525	139630
"Sample_126"	"Sample_126.noprimer.fastq.gz"	13594	13545	13398	13398
"Sample_127"	"Sample_127.noprimer.fastq.gz"	44115	44040	43251	43083
"Sample_131"	"Sample_131.noprimer.fastq.gz"	35801	35790	34904	34833
"Sample_133"	"Sample_133.noprimer.fastq.gz"	28902	28861	28174	28141
"Sample_135"	"Sample_135.noprimer.fastq.gz"	53510	53469	52706	52513
"Sample_136"	"Sample_136.noprimer.fastq.gz"	26270	26239	25824	25810
"Sample_140"	"Sample_140.noprimer.fastq.gz"	34448	34435	33465	33338
"Sample_144"	"Sample_144.noprimer.fastq.gz"	68028	67930	67543	67378
"Sample_147"	"Sample_147.noprimer.fastq.gz"	40967	40862	40448	40353
"Sample_148"	"Sample_148.noprimer.fastq.gz"	120808	120770	120076	119572
"Sample_152"	"Sample_152.noprimer.fastq.gz"	50489	50429	50103	49897
"Sample_154"	"Sample_154.noprimer.fastq.gz"	60950	60868	60345	60222
"Sample_157"	"Sample_157.noprimer.fastq.gz"	88277	88235	86898	86649
"Sample_160"	"Sample_160.noprimer.fastq.gz"	26975	26846	26627	26597
"Sample_161"	"Sample_161.noprimer.fastq.gz"	28818	28810	25483	25384
"Sample_162"	"Sample_162.noprimer.fastq.gz"	38199	38190	32355	32090
"Sample_163"	"Sample_163.noprimer.fastq.gz"	36572	36570	31245	30847
"Sample_164"	"Sample_164.noprimer.fastq.gz"	44302	44285	39535	39311
"Sample_172"	"Sample_172.noprimer.fastq.gz"	10283	10269	10079	10037
"Sample_173"	"Sample_173.noprimer.fastq.gz"	47157	47153	46649	46315
"Sample_177"	"Sample_177.noprimer.fastq.gz"	26599	26585	23746	23500
"Sample_179"	"Sample_179.noprimer.fastq.gz"	25955	25947	21789	21648
"Sample_181"	"Sample_181.noprimer.fastq.gz"	40599	40583	38243	38097
"Sample_182"	"Sample_182.noprimer.fastq.gz"	29813	29803	25600	25365
"Sample_186"	"Sample_186.noprimer.fastq.gz"	45297	45284	44430	44288
"Sample_190"	"Sample_190.noprimer.fastq.gz"	25614	25605	22873	22722
"Sample_193"	"Sample_193.noprimer.fastq.gz"	27877	27863	26626	26599
"Sample_194"	"Sample_194.noprimer.fastq.gz"	35010	35003	33749	33718
"Sample_196"	"Sample_196.noprimer.fastq.gz"	28734	28713	25922	25771
"Sample_198"	"Sample_198.noprimer.fastq.gz"	29693	29687	29510	29504
"Sample_201"	"Sample_201.noprimer.fastq.gz"	15533	15526	10476	10418
"Sample_204"	"Sample_204.noprimer.fastq.gz"	38690	38671	38387	38290
"Sample_3"	"Sample_3.noprimer.fastq.gz"	40932	40916	39525	39398
"Sample_4"	"Sample_4.noprimer.fastq.gz"	39731	39706	39526	39478
"Sample_7"	"Sample_7.noprimer.fastq.gz"	28635	28624	27765	27686
"Sample_8"	"Sample_8.noprimer.fastq.gz"	21972	21964	21576	21550
"Sample_control"	"Sample_control.noprimer.fastq.gz"	58523	58504	55018	50093
"Sample_Kit_Control"	"Sample_Kit_Control.noprimer.fastq.gz"	65318	65306	61472	55619
