Taxa	Sample_113.filtered.fastq.gz	Sample_114.filtered.fastq.gz	Sample_115.filtered.fastq.gz	Sample_116.filtered.fastq.gz	Sample_126.filtered.fastq.gz	Sample_127.filtered.fastq.gz	Sample_131.filtered.fastq.gz	Sample_133.filtered.fastq.gz	Sample_135.filtered.fastq.gz	Sample_136.filtered.fastq.gz	Sample_140.filtered.fastq.gz	Sample_144.filtered.fastq.gz	Sample_147.filtered.fastq.gz	Sample_148.filtered.fastq.gz	Sample_152.filtered.fastq.gz	Sample_154.filtered.fastq.gz	Sample_157.filtered.fastq.gz	Sample_160.filtered.fastq.gz	Sample_161.filtered.fastq.gz	Sample_162.filtered.fastq.gz	Sample_163.filtered.fastq.gz	Sample_164.filtered.fastq.gz	Sample_172.filtered.fastq.gz	Sample_173.filtered.fastq.gz	Sample_177.filtered.fastq.gz	Sample_179.filtered.fastq.gz	Sample_181.filtered.fastq.gz	Sample_182.filtered.fastq.gz	Sample_186.filtered.fastq.gz	Sample_190.filtered.fastq.gz	Sample_193.filtered.fastq.gz	Sample_194.filtered.fastq.gz	Sample_196.filtered.fastq.gz	Sample_198.filtered.fastq.gz	Sample_201.filtered.fastq.gz	Sample_204.filtered.fastq.gz	Sample_3.filtered.fastq.gz	Sample_4.filtered.fastq.gz	Sample_7.filtered.fastq.gz	Sample_8.filtered.fastq.gz	Sample_control.filtered.fastq.gz	Sample_Kit_Control.filtered.fastq.gz
97c044369e2b7b5fa64c33abcb8e5e7b	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39133	42888
dbc155bb6f730e1a701a0090abc69735	0	0	0	0	0	3844	2233	96	3127	0	14	143	1559	0	143	7541	180	309	3	4	4	0	130	9043	2407	508	2014	40	12	85	1371	1	79	8158	17	1708	443	234	2453	187	0	0
fc85366f55f1aa1f60f33f5cee4c75b7	0	0	0	0	441	1078	0	0	33	20	896	1109	1167	397	482	4107	5	6037	0	0	0	0	103	785	0	0	3	0	179	4	102	123	9	415	0	1112	532	1369	472	1244	0	0
9c5a5fa04b93212070e23b98c9a85677	164	1925	237	79	25	118	281	251	31	13	194	195	2	20	3773	120	609	0	469	2573	258	11	497	171	569	3147	1269	556	233	447	29	58	1635	264	410	590	401	82	387	36	0	0
6fd284fbb6813bde868815de4c356ffa	10	13	11	14	12	530	1196	58	4499	0	3	41	776	9	24	960	0	166	20	16	11	3	68	985	1079	254	3291	35	4	29	646	0	13	1248	0	518	270	109	1246	73	0	0
18d65b995808cee494877af582f4ffa6	0	0	0	0	33	113	0	0	0	460	3857	1	143	881	20	0	0	0	0	0	0	0	248	401	0	0	0	576	3770	0	201	988	1	0	0	82	581	119	758	265	0	0
56f1555789fd42a2e07937ce7a864639	30	594	993	5147	0	323	34	9	0	0	0	15	0	0	20	0	7	0	54	788	2297	1987	0	728	42	14	0	6	0	20	0	0	8	0	6	0	10	0	73	3	0	0
ffb9c8e25a44203247f36d9e23363dbc	1269	1591	4388	90	1	0	17	19	0	0	0	0	7	350	0	0	4	0	1445	1630	1992	38	0	0	10	20	0	0	0	0	0	34	0	0	0	0	3	6	0	10	0	0
5963b10d50f976f03f17030c960b6d6e	0	0	0	0	0	409	2	16	23	0	16	3110	1939	1372	0	4	0	0	0	0	0	0	10	173	0	7	14	0	51	4384	490	243	0	0	0	0	2	0	51	99	0	0
109f36de0b09ba9707053d78931327f3	0	0	0	0	10	146	0	0	0	345	3545	8	0	799	7	0	0	18	0	0	0	0	210	410	0	0	2	449	3441	2	0	851	3	1	0	94	511	124	722	251	0	0
9940a90449af871cda883fcbfd06792d	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5277	6366
b9642d7fd7efce5d83bb78a2dd9c8d5c	320	20	1688	765	28	190	67	8	51	27	19	74	11	494	76	15	232	0	822	12	712	79	171	318	65	79	656	1865	28	201	42	731	20	67	98	192	120	19	57	5	0	0
9d15a0969d0c4e972a88a218b485dbd1	60	313	351	1400	0	164	82	46	0	0	9	211	14	99	1871	29	431	0	126	309	671	445	13	331	175	403	47	55	9	485	113	165	973	36	216	56	8	0	17	6	0	0
94de0256e93c5c7d239da9b5f037f783	13	491	628	2472	0	528	41	0	0	0	4	102	6	16	122	0	84	0	31	548	1566	1173	0	1275	62	65	10	13	0	166	30	30	71	0	47	0	5	0	33	6	0	0
3877bbe4f071dc8e00aab61597cdd622	8	18	8	86	1473	34	179	165	715	127	138	231	31	1295	6	11	468	7	0	10	5	24	381	15	14	12	288	30	216	20	4	192	0	0	6	7	724	700	113	677	0	0
cb83ff94c26e48f53503740732f8e87f	0	0	0	0	0	0	0	0	4501	363	20	2489	0	0	5	0	0	0	0	0	0	0	0	0	0	0	379	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0
27149ce891bb878d786f4d76224beede	10	16	49	455	1	344	138	11	330	0	96	80	26	65	1380	307	259	12	17	15	61	106	5	827	55	42	490	6	130	192	53	74	420	431	106	728	54	0	131	22	0	0
ee2532d77f86d49e951b49b7effc6ca7	367	1405	303	33	0	5	53	25	7	0	64	102	0	38	486	5	95	0	974	2066	345	9	73	18	54	134	172	23	71	157	5	20	186	48	39	91	15	0	30	2	0	0
4dbef729f0c0447904807762f0746e79	0	0	0	0	0	0	1433	2261	0	43	0	0	29	2033	2	0	1246	0	0	0	0	0	0	0	65	22	0	0	0	0	14	166	6	0	3	3	0	0	0	0	0	0
988d8b6796afc3deed13bd05b0a9d414	0	291	109	0	0	0	0	2	0	6	0	30	507	66	214	1630	1418	121	0	183	138	0	0	0	30	0	0	3	0	17	465	8	209	1165	180	72	0	0	232	55	0	0
4789f60f51b973e603f248adc76535b0	0	0	0	11	51	119	214	14	1186	144	264	1177	92	495	526	0	182	0	0	0	0	4	70	70	77	10	480	174	357	101	62	158	143	0	17	47	405	223	68	24	0	0
701d2014dcfc42c79430383e0e5a6d9d	0	2	0	26	0	314	116	297	78	5	0	2510	616	983	70	0	68	191	0	0	0	13	0	10	21	85	12	1	0	578	108	137	82	0	0	154	35	0	13	10	0	0
b6e79195e0421cb89a1250129b482893	66	0	1	644	0	0	3	247	37	713	0	0	8	1563	0	0	0	0	49	0	0	149	0	0	2	84	16	42	0	0	3	212	1	0	0	0	852	1673	0	0	0	0
11fcf2b37d31861aab077aea5ae35177	127	14	63	857	19	7	297	150	480	47	26	875	49	758	76	58	318	175	109	6	20	94	0	0	172	107	367	104	37	208	71	209	28	48	40	266	26	23	7	2	0	0
232e094b394fcbbab815f65d88b34dfc	0	0	0	38	0	284	104	326	71	0	0	1971	641	1125	117	0	82	160	0	3	0	15	0	24	20	97	16	0	0	653	114	133	81	1	0	142	41	17	18	5	0	0
276b076e286b5d842f8e13f271d9076b	0	0	65	31	0	0	318	1	9	0	0	102	6	0	11	1774	2196	324	4	0	138	3	0	0	105	4	7	0	0	5	0	0	16	639	326	113	0	0	0	0	0	0
9d42e884378aec1187e7cf92a4f6f6f6	0	0	0	11	0	272	110	313	70	0	0	2016	590	1197	99	0	71	154	0	2	0	11	0	9	19	74	11	0	0	629	127	144	77	0	0	117	34	6	9	7	0	0
909fa980887951eac9e14771141de5c1	10	0	10	1852	0	39	47	0	62	3	445	641	15	702	76	106	0	9	11	0	9	370	0	42	27	0	93	7	377	324	5	245	69	106	0	35	35	12	111	36	0	0
